Province/State,Country/Region,Date,Confirmed,Deaths,Recovered,Active,WHO Region,TrueConfirmed,Anomaly
0,Belize,2020-03-21,0,0,0,0,Americas,0,False
Quebec,Canada,2020-07-13,56621,5628,0,50993,Americas,56621,False
0,Armenia,2020-07-06,28936,491,16302,12143,Europe,28936,False
0,Rwanda,2020-07-21,1655,5,848,802,Africa,1655,False
0,Fiji,2020-05-29,18,0,15,3,Western Pacific,18,False
0,Cote d'Ivoire,2020-03-21,14,0,1,13,Africa,14,False
Jiangxi,China,2020-06-21,932,1,931,0,Western Pacific,932,False
0,Albania,2020-05-25,1004,32,795,177,Europe,1004,False
0,Syria,2020-02-14,0,0,0,0,Eastern Mediterranean,0,False
0,Djibouti,2020-06-08,4278,31,2013,2234,Eastern Mediterranean,4278,False
0,South Sudan,2020-02-06,0,0,0,0,Africa,0,False
0,Ghana,2020-05-10,4263,22,378,3863,Africa,4263,False
0,Morocco,2020-07-19,17236,273,14921,2042,Eastern Mediterranean,17236,False
0,Nigeria,2020-07-08,30249,684,12373,17192,Africa,30249,False
Cayman Islands,United Kingdom,2020-03-16,1,1,0,0,Europe,1,False
Cayman Islands,United Kingdom,2020-03-10,0,0,0,0,Europe,0,False
0,Costa Rica,2020-05-30,1047,10,658,379,Americas,1047,False
0,Tanzania,2020-07-26,509,21,183,305,Africa,509,False
0,Rwanda,2020-07-05,1105,3,567,535,Africa,1105,False
Saint Pierre and Miquelon,France,2020-05-26,1,0,1,0,Europe,1,False
0,New Zealand,2020-06-08,1504,22,1482,0,Western Pacific,1504,False
0,Seychelles,2020-02-29,0,0,0,0,Africa,0,False
0,Bahrain,2020-03-08,85,0,4,81,Eastern Mediterranean,85,False
0,Maldives,2020-02-02,0,0,0,0,South-East Asia,0,False
0,Saint Vincent and the Grenadines,2020-04-07,8,0,1,7,Americas,8,False
0,Honduras,2020-01-23,0,0,0,0,Americas,0,False
Western Australia,Australia,2020-07-15,646,9,610,27,Western Pacific,646,False
0,Saint Vincent and the Grenadines,2020-03-18,1,0,0,1,Americas,1,False
Australian Capital Territory,Australia,2020-07-15,113,3,105,5,Western Pacific,113,False
Cayman Islands,United Kingdom,2020-02-11,0,0,0,0,Europe,0,False
0,Greece,2020-07-10,3732,193,1374,2165,Europe,3732,False
0,Ecuador,2020-03-19,199,3,0,196,Americas,199,False
Guangxi,China,2020-06-06,254,2,252,0,Western Pacific,254,False
0,Colombia,2020-02-05,0,0,0,0,Americas,0,False
0,Equatorial Guinea,2020-07-14,3071,51,842,2178,Africa,3071,False
0,Philippines,2020-03-07,6,1,1,4,Western Pacific,6,False
0,Senegal,2020-02-04,0,0,0,0,Africa,0,False
Hunan,China,2020-02-18,1007,4,527,476,Western Pacific,1007,False
0,Ghana,2020-05-31,8070,36,2947,5087,Africa,8070,False
0,Georgia,2020-01-23,0,0,0,0,Europe,0,False
0,Ghana,2020-04-29,1671,16,188,1467,Africa,1671,False
Montserrat,United Kingdom,2020-07-13,12,1,10,1,Europe,12,False
0,Singapore,2020-03-26,683,2,172,509,Western Pacific,683,False
0,Malawi,2020-04-10,9,1,0,8,Africa,9,False
Montserrat,United Kingdom,2020-06-10,11,1,10,0,Europe,11,False
0,Croatia,2020-04-14,1704,31,415,1258,Europe,1704,False
0,Zambia,2020-01-28,0,0,0,0,Africa,0,False
0,Ecuador,2020-04-25,22719,576,1366,20777,Americas,22719,False
